2025-11-17 23:19:51.228 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-11-17 23:19:51.736 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-11-17 23:19:51.736 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-11-17 23:19:51.754 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-11-17 23:19:51.755 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-11-17 23:19:51.760 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-11-17 23:20:51.243 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-11-17 23:23:11.025 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-11-17 23:23:11.768 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-17 23:23:30.335 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-17 23:23:33.184 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-17 23:23:55.415 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-17 23:23:59.565 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-11-17 23:23:59.565 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-11-17 23:46:55.695 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-17 23:51:34.034 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [de26820a93c74a54b3d05ba81ceb8ec2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 18:27:25.266 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [5969d8e234b44e32aa26a8f221f50781], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 18:27:25.792 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [5969d8e234b44e32aa26a8f221f50781], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-11-18 18:27:25.792 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [5969d8e234b44e32aa26a8f221f50781], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-11-18 18:27:25.809 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [5969d8e234b44e32aa26a8f221f50781], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-11-18 18:27:25.809 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [5969d8e234b44e32aa26a8f221f50781], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-11-18 18:27:25.817 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [5969d8e234b44e32aa26a8f221f50781], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 18:28:25.282 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [5969d8e234b44e32aa26a8f221f50781], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 19:51:16.532 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [5969d8e234b44e32aa26a8f221f50781], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 19:51:59.045 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [5969d8e234b44e32aa26a8f221f50781], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 19:51:59.057 User Agent: [Hub 3.15.2], Protocol version: [1.17.3], Session Id: [5969d8e234b44e32aa26a8f221f50781], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 19:51:59.760 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 19:51:59.760 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 19:51:59.771 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-11-18 19:51:59.771 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2025-11-18 19:51:59.771 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 19:51:59.771 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.disable-splash-screen], Result: [granted: False, group: (null)]
2025-11-18 19:51:59.771 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2025-11-18 19:52:06.220 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-11-18 19:52:06.220 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.disable], Result: [granted: False, group: (null)]
2025-11-18 19:52:06.220 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.prototyping], Result: [granted: False, group: (null)]
2025-11-18 19:52:06.220 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2025-11-18 19:52:06.220 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2025-11-18 19:52:06.220 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.time-limited-license], Result: [granted: False, group: (null)]
2025-11-18 19:52:06.220 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.cluster], Result: [granted: False, group: (null)]
2025-11-18 19:52:06.220 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 5772888593621-UnityPersonal]
2025-11-18 19:52:24.655 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.2d.animation], Result: [granted: True, group: (null)]
2025-11-18 19:52:24.655 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.2d.aseprite], Result: [granted: True, group: (null)]
2025-11-18 19:52:24.655 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.2d.psdimporter], Result: [granted: True, group: (null)]
2025-11-18 19:52:24.655 User Agent: [UnityEditor/6000.2.12f1 (Linux; U; Linux 6.1; en_GB)], Protocol version: [1.17.4], Session Id: [c8525edb707e4375afc0c888c0294b3b], Licensed Package: False, Entitlement requested: [com.unity.2d.sprite], Result: [granted: True, group: (null)]
